 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 48,Arlington,Texas,398112,365438,+8.94%,95.8sqmi;248.1km2,4100/sqmi;1600/km2,324203N  970729W  /  32.7007N  97.1247W  /  32.7007;  -97.1247  (Arlington) ,https://en.wikipedia.org/wiki/Arlington_Texas,Tarrant,,,CouncilManager[1], Jeff  Williams  (R) , 99.7sqmi  (258.2km2)365438 , 96.5sqmi  (249.9km2) , 3.2sqmi  (8.3km2) , 604ft  (184m) , UTC6  (CST) , UTC5  (CDT) ,www.arlingtontx.gov, 76000-76099  (76029  is  exclusive  to  UT-Arlington) , 817  214  972 , 3810/sqmi  (1472/km2) 
 49,Tampa,Florida,392890,335709,+17.03%,113.4sqmi;293.7km2,3326/sqmi;1284/km2,275812N  822847W  /  27.9701N  82.4797W  /  27.9701;  -82.4797  (Tampa) ,https://en.wikipedia.org/wiki/Tampa_Florida,,,,,,,,,,,,,,,
 50,New  Orleans[n],Louisiana,391006,343829,+13.72%,169.4sqmi;438.7km2,2311/sqmi;892/km2,300312N  895604W  /  30.0534N  89.9345W  /  30.0534;  -89.9345  (New  Orleans) ,https://en.wikipedia.org/wiki/New_Orleans,,,,Mayorcouncil, LaToya  Cantrell  (D) ,, 169.42sqmi  (438.80km2) , 180.43sqmi  (467.30km2) , 6.5  to  20ft  (2  to  6m) , UTC6  (CST) , UTC5  (CDT) ,nola.gov,,, 2310.78/sqmi  (892.20/km2) 
 51,Wichita,Kansas,389255,382368,+1.80%,160.4sqmi;415.4km2,2431/sqmi;939/km2,374127N  972045W  /  37.6907N  97.3459W  /  37.6907;  -97.3459  (Wichita) ,https://en.wikipedia.org/wiki/Wichita_Kansas,Sedgwick,,1870,Council-Manager, Jeff  Longwell  (R) ,, 159.29sqmi  (412.56km2) , 4.30sqmi  (11.14km2) ,, UTC6  (CST) , UTC5  (CDT) ,wichita.gov, 67201-67221  67223  67226-67228  67230  67232  67235  67260  67275-67278[7] ,, 2300/sqmi  (900/km2) 
 52,Cleveland,Ohio,383793,396815,3.28%,77.7sqmi;201.2km2,4965/sqmi;1917/km2,412843N  814046W  /  41.4785N  81.6794W  /  41.4785;  -81.6794  (Cleveland) ,https://en.wikipedia.org/wiki/Cleveland,Cuyahoga,, December  23  1814  (village) ,Mayorcouncil, Frank  G.  Jackson  (D) , 82.47sqmi  (213.60km2)396698 , 77.70sqmi  (201.24km2) , 4.77sqmi  (12.35km2) ,, UTC5  (EST) , UTC4  (EDT) ,www.cleveland-oh.gov, ZIP  Codes[6] ,, 5107.0/sqmi  (1971.8/km2) 
 53,Bakersfield,California,383579,347483,+10.39%,148.8sqmi;385.4km2,2529/sqmi;976/km2,351916N  1190106W  /  35.3212N  119.0183W  /  35.3212;  -119.0183  (Bakersfield) ,https://en.wikipedia.org/wiki/Bakersfield_California,Kern,,18731876[2],Council-Manager, Karen  K.  Goh  (R)[4] , 151.20sqmi  (391.60km2)347483 , 149.73sqmi  (387.80km2) , 1.47sqmi  (3.81km2)  0.97% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.bakersfieldcity.us,,, 2561.80/sqmi  (989.12/km2) 
 54,Aurora,Colorado,374114,325078,+15.08%,153.5sqmi;397.6km2,2356/sqmi;910/km2,394117N  1044123W  /  39.6880N  104.6897W  /  39.6880;  -104.6897  (Aurora) ,https://en.wikipedia.org/wiki/Aurora_Colorado,,,, Home  Rule  Municipality[1] , Bob  LeGare[4] ,, 153.52sqmi  (397.62km2) , 0.67sqmi  (1.73km2) ,, UTC7  (MST) , UTC6  (MDT) ,auroragov.org,, Both  303  and  720 , 2356.05/sqmi  (909.68/km2) 
 55,Anaheim,California,352005,336265,+4.68%,50.0sqmi;129.5km2,7021/sqmi;2711/km2,335120N  1174536W  /  33.8555N  117.7601W  /  33.8555;  -117.7601  (Anaheim) ,https://en.wikipedia.org/wiki/Anaheim_California,Orange,, March  18  1876[1] ,, Harry  Sidhu[2]  (R) ,, 50.32sqmi  (130.33km2) , 0.60sqmi  (1.57km2)  1.92% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.anaheim.net,,657/714, 7004.97/sqmi  (2704.66/km2) 
 56,Honolulu[b],Hawaii,347397,337256,+3.01%,60.5sqmi;156.7km2,5815/sqmi;2245/km2,211927N  1575051W  /  21.3243N  157.8476W  /  21.3243;  -157.8476  (Honolulu) ,https://en.wikipedia.org/wiki/Honolulu,Honolulu,, April  30  1907[2] ,, Kirk  Caldwell  (D) , 68.4sqmi  (177.2km2)337256  (55th) , 60.5sqmi  (156.7km2) , 7.9sqmi  (20.5km2) , 19ft  (6m) , UTC10  (Hawaiian  (HST)) ,,www.honolulu.gov,9680196850,, 5791/sqmi  (2236.1/km2) 
 57,Santa  Ana,California,332725,324528,+2.53%,27.1sqmi;70.2km2,12333/sqmi;4762/km2,334411N  1175259W  /  33.7363N  117.8830W  /  33.7363;  -117.8830  (Santa  Ana) ,https://en.wikipedia.org/wiki/Santa_Ana_California,Orange,, June  1  1886[2] ,, Miguel  A.  Pulido[3] ,, 27.15sqmi  (70.31km2) , 0.25sqmi  (0.64km2)  0.90% ,, UTC8  (Pacific) , UTC7  (PDT) ,santa-ana.org,,, 12311.83/sqmi  (4753.70/km2) 
 58,Riverside,California,330063,303871,+8.62%,81.2sqmi;210.3km2,3999/sqmi;1544/km2,335617N  1172336W  /  33.9381N  117.3932W  /  33.9381;  -117.3932  (Riverside) ,https://en.wikipedia.org/wiki/Riverside_California,Riverside,, October11  1883;  135  years  ago[1] ,Council-manager[3],,, 81.23sqmi  (210.38km2) , 0.31sqmi  (0.80km2)  0.37% ,, UTC8  (Pacific) , UTC7  (PDT) ,riversideca.gov,,, 4034.57/sqmi  (1557.79/km2) 
 59,Corpus  Christi,Texas,326554,305215,+6.99%,174.6sqmi;452.2km2,1866/sqmi;720/km2,274515N  971024W  /  27.7543N  97.1734W  /  27.7543;  -97.1734  (Corpus  Christi) ,https://en.wikipedia.org/wiki/Corpus_Christi_Texas,,,, Council-manager  government|Council-Manager ,, 503.6sqmi  (1304km2)305215 , 174.6sqmi  (452km2) , 329.0sqmi  (852km2) , 7ft  (2m) , UTC6  (CST) , UTC5  (CDT) ,www.cctexas.com, 7840178402  7840478418 ,, 1830/sqmi  (710/km2) 
 60,Lexington[o],Kentucky,323780,295803,+9.46%,283.6sqmi;734.5km2,1123/sqmi;434/km2,380227N  842730W  /  38.0407N  84.4583W  /  38.0407;  -84.4583  (Lexington) ,https://en.wikipedia.org/wiki/Lexington_Kentucky,,,1831[2],, Linda  Gorton ,, 284.5sqmi  (736.9km2) , 1.0sqmi  (2.6km2) , 978ft  (298m) , UTC5  (EST) , UTC4  (EDT) ,www.lexingtonky.gov,,, 1042.8/sqmi  (364.5/km2) 
 61,Stockton,California,311178,291707,+6.67%,61.7sqmi;159.8km2,4977/sqmi;1922/km2,375835N  1211848W  /  37.9763N  121.3133W  /  37.9763;  -121.3133  (Stockton) ,https://en.wikipedia.org/wiki/Stockton_California, San  Joaquin ,, July  23  1850[4] , City  Manager-Council[5] , Michael  Tubbs  (D)[6] , 64.75sqmi  (167.70km2)291707 , 61.67sqmi  (159.72km2) , 3.08sqmi  (7.98km2)  4.76% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.stocktongov.com,,, 4979.52/sqmi  (1922.60/km2) 
 62,Henderson,Nevada,310390,257729,+20.43%,104.7sqmi;271.2km2,2798/sqmi;1080/km2,360035N  1150209W  /  36.0097N  115.0357W  /  36.0097;  -115.0357  (Henderson) ,https://en.wikipedia.org/wiki/Henderson_Nevada,Clark,, April  16  1953 ,Council-manager, Debra  March  (D) ,, 107.7sqmi  (279.0km2) , 0.0sqmi  (0.0km2) ,, UTC8  (PST) , UTC7  (PDT) ,www.cityofhenderson.com,,,
 63,Saint  Paul,Minnesota,307695,285068,+7.94%,52.0sqmi;134.7km2,5815/sqmi;2245/km2,445656N  930615W  /  44.9489N  93.1041W  /  44.9489;  -93.1041  (Saint  Paul) ,https://en.wikipedia.org/wiki/Saint_Paul_Minnesota,Ramsey,, March  4  1854 ,, Melvin  Carter  (DFL) , 56.18sqmi  (145.50km2)285068 , 51.97sqmi  (134.61km2) , 4.20sqmi  (10.88km2) , 795ft  (214m) , UTC6  (CST) , UTC5  (CDT) ,www.stpaul.gov,,, 5899.51/sqmi  (2277.82/km2) 
 64,St.  Louis[m],Missouri,302838,319294,5.15%,62.0sqmi;160.6km2,5023/sqmi;1939/km2,383809N  901441W  /  38.6357N  90.2446W  /  38.6357;  -90.2446  (St.  Louis) ,https://en.wikipedia.org/wiki/St._Louis,,,1822, Mayorcouncil  government , Lyda  Krewson  (D) ,, 61.9sqmi  (160km2) , 4.1sqmi  (11km2) ,, UTC6  (CST) , UTC5  (CDT) ,stlouis-mo.gov, (Almost  all  of63101-63199)[9] ,, 4985.9/sqmi  (1925.1/km2) 
 65,Cincinnati,Ohio,302605,296943,+1.91%,77.4sqmi;200.5km2,3860/sqmi;1490/km2,390825N  843021W  /  39.1402N  84.5058W  /  39.1402;  -84.5058  (Cincinnati) ,https://en.wikipedia.org/wiki/Cincinnati,Hamilton,1788,,Mayorcouncil, John  Cranley  (D) , 206.01km2  (79.54sqmi)296943 , 201.86km2  (77.94sqmi) , 4.14km2  (1.60sqmi) , 147m  (482ft) , UTC5  (EST) , UTC4  (EDT) ,cincinnati-oh.gov, ZIP  Codes[6] ,, 1471.0/km2  (3809.9/sqmi) 
 66,Pittsburgh,Pennsylvania,301048,305704,1.52%,55.4sqmi;143.5km2,5481/sqmi;2116/km2,402623N  795836W  /  40.4398N  79.9766W  /  40.4398;  -79.9766  (Pittsburgh) ,https://en.wikipedia.org/wiki/Pittsburgh,Allegheny,,,Mayor-Council, Bill  Peduto  (D) , 58.34sqmi  (151.11km2)305704 , 55.38sqmi  (143.42km2) , 2.97sqmi  (7.69km2)  4.8% ,, UTC5  (Eastern  Standard  Time) , UTC4  (Eastern  Daylight  Time) ,PittsburghPA.gov,, 412  724  878 , 5460.98/sqmi  (2108.49/km2) 
 67,Greensboro,North  Carolina,294722,269666,+9.29%,128.3sqmi;332.3km2,2237/sqmi;864/km2,360542N  794937W  /  36.0951N  79.8270W  /  36.0951;  -79.8270  (Greensboro) ,https://en.wikipedia.org/wiki/Greensboro_North_Carolina,Guilford,,, City  Council , Nancy  B.  Vaughan  (D) , 131.8sqmi  (341.4km2)269666  (US:68th) , 126.5sqmi  (327.7km2) , 5.3sqmi  (13.7km2) ,, UTC5  (EST) , UTC4  (EDT) ,www.greensboro-nc.gov,,,
 68,Anchorage[p],Alaska,291538,291826,0.10%,1706.6sqmi;4420.1km2,175/sqmi;68/km2,611027N  1491703W  /  61.1743N  149.2843W  /  61.1743;  -149.2843  (Anchorage) ,https://en.wikipedia.org/wiki/Anchorage_Alaska,,1914, November  23  1920  (city)  January  1  1964  (borough)  September  15  1975(unified  municipality) ,, Ethan  Berkowitz  (D) ,, 1706.61sqmi  (4420.09km2) , 256.00sqmi  (663.04km2) , 102ft  (31m) , UTC-9  (AKST) , UTC-8  (AKDT) , Municipality  of  Anchorage ,,, 151.94/sqmi  (58.66/km2) 
 69,Plano,Texas,288061,259841,+10.86%,71.7sqmi;185.7km2,3990/sqmi;1540/km2,330303N  964452W  /  33.0508N  96.7479W  /  33.0508;  -96.7479  (Plano) ,https://en.wikipedia.org/wiki/Plano_Texas,,,1873,Council-Manager, Harry  LaRosiliere  (D) , 71.6sqmi  (185.5km2)269776  (city  proper)  (US:69th) , 71.6sqmi  (185.5km2) , 0.1sqmi  (0.2km2) ,, UTC6  (CST) , UTC5  (CDT) ,www.plano.gov, 75023-26  75074-75  75086  75093-94 , 214  469  972 , 3820.2/sqmi  (1474.99/km2) 
 70,Lincoln,Nebraska,287401,258379,+11.23%,92.1sqmi;238.5km2,3044/sqmi;1175/km2,404838N  964049W  /  40.8105N  96.6803W  /  40.8105;  -96.6803  (Lincoln) ,https://en.wikipedia.org/wiki/Lincoln_Nebraska,Lancaster,, April  1  1869 , Strong  Mayor-Council , Leirion  Gaylor  Baird  (D) ,, 92.913sqmi  (240.644km2) , 1.354sqmi  (3.507km2)  1.5% , 1176ft  (358m) , UTC-6  (CST) , UTC-5  (CDT) ,lincoln.ne.gov,, 402  531 , 3020.5/sqmi  (1166.2/km2) 
 71,Orlando,Florida,285713,238300,+19.90%,105.2sqmi;272.5km2,2635/sqmi;1017/km2,282500N  811625W  /  28.4166N  81.2736W  /  28.4166;  -81.2736  (Orlando) ,https://en.wikipedia.org/wiki/Orlando_Florida,Orange,,,MayorCommission, Buddy  Dyer  (D) ,, 272.51km2  (105.22sqmi) , 22.10km2  (8.53sqmi) ,, UTC5  (Eastern  (EST)) , UTC4  (EDT) ,http://www.cityoforlando.net,, 321  407 , 1017.10/km2  (2634.27/sqmi) 
 72,Irvine,California,282572,212375,+33.05%,65.6sqmi;169.9km2,4057/sqmi;1566/km2,334042N  1174617W  /  33.6784N  117.7713W  /  33.6784;  -117.7713  (Irvine) ,https://en.wikipedia.org/wiki/Irvine_California,Orange,, December  28  1971[3][4] ,Council-Manager[3], Christina  L.  Shea ,, 65.58sqmi  (169.86km2) , 0.34sqmi  (0.89km2)  0.52% ,, UTC8  (Pacific) , UTC7  (PDT) ,cityofirvine.org,, 949  657/714 , 4211.28/sqmi  (1566.75/km2) 
 73,Newark,New  Jersey,282090,277140,+1.79%,24.1sqmi;62.4km2,11691/sqmi;4514/km2,404327N  741021W  /  40.7242N  74.1726W  /  40.7242;  -74.1726  (Newark) ,https://en.wikipedia.org/wiki/Newark_New_Jersey,Essex,, October  31  1693  (as  township) , Faulkner  Act  (Mayor-Council) , Ras  Baraka  (D)[4][5] ,, 24.187sqmi  (62.644km2) , 1.920sqmi  (4.973km2)  7.35% ,, UTC5  (Eastern  (EST)) , UTC4  (Eastern  (EDT)) ,newarknj.gov,,, 11458.3/sqmi  (4424.1/km2) 
 74,Toledo,Ohio,274975,287208,4.26%,80.7sqmi;209.0km2,3451/sqmi;1332/km2,413951N  833455W  /  41.6641N  83.5819W  /  41.6641;  -83.5819  (Toledo) ,https://en.wikipedia.org/wiki/Toledo_Ohio,Lucas,,,, Wade  Kapszukiewicz  (D) , 84.12sqmi  (217.87km2)287208 , 80.69sqmi  (208.99km2) , 3.43sqmi  (8.88km2) , 614ft  (187m) , UTC5  (EST) , UTC4  (EDT) ,www.toledo.oh.gov, Zip  codes[4] , 419  567 , 3559/sqmi  (1374.3/km2) 
 75,Durham,North  Carolina,274291,228330,+20.13%,109.8sqmi;284.4km2,2395/sqmi;925/km2,355852N  785410W  /  35.9811N  78.9029W  /  35.9811;  -78.9029  (Durham) ,https://en.wikipedia.org/wiki/Durham_North_Carolina, Durham  Wake ,, April  10  1869[2] ,Council-Manager, Steve  Schewel , 108.3sqmi  (280.4km2)228330  (US:  78th) , 107.4sqmi  (278.1km2) , 0.9sqmi  (2.4km2) , 404ft  (123m) , UTC5  (EST) , UTC4  (EDT) ,durhamnc.gov,,,
 76,Chula  Vista,California,271651,243916,+11.37%,49.6sqmi;128.5km2,5387/sqmi;2080/km2,323740N  1170055W  /  32.6277N  117.0152W  /  32.6277;  -117.0152  (Chula  Vista) ,https://en.wikipedia.org/wiki/Chula_Vista_California, San  Diego ,, November  28  1911[3] ,Council-Manager,, 52.09sqmi  (134.93km2)243916 , 49.63sqmi  (128.55km2) , 2.46sqmi  (6.38km2)  4.73% ,, UTC-8  (PST) , UTC-7  (PDT) ,www.chulavistaca.gov,,, 5383.06/sqmi  (2078.39/km2) 
 77,Fort  Wayne,Indiana,267633,253691,+5.50%,110.6sqmi;286.5km2,2391/sqmi;923/km2,410518N  850838W  /  41.0882N  85.1439W  /  41.0882;  -85.1439  (Fort  Wayne) ,https://en.wikipedia.org/wiki/Fort_Wayne_Indiana,Allen,,,Mayorcouncil, Tom  Henry  (D) , 110.84sqmi  (287.07km2)253691 , 110.63sqmi  (286.52km2) , 0.21sqmi  (0.55km2) , 810ft  (247m) , UTC05:00  (EST) , UTC04:00  (EDT) ,www.cityoffortwayne.org, ZIP  codes  46774  4680246809  4681446816  46818  46819  46825  46835  46845 ,, 2390.79/sqmi  (923.09/km2) 
 78,Jersey  City,New  Jersey,265549,247597,+7.25%,14.8sqmi;38.3km2,17848/sqmi;6891/km2,404241N  740353W  /  40.7114N  74.0648W  /  40.7114;  -74.0648  (Jersey  City) ,https://en.wikipedia.org/wiki/Jersey_City_New_Jersey,Hudson,, February  22  1838 , Faulkner  Act  (Mayor-Council) , Steven  Fulop(D)[13][14] ,, 14.794sqmi  (38.316km2) , 6.286sqmi  (16.281km2)  29.82% ,, UTC5  (EST) , UTC4  (Eastern  (EDT)) ,www.jerseycitynj.gov,,, 16736.6/sqmi  (6462.0/km2) 
 79,St.  Petersburg,Florida,265098,244769,+8.31%,61.8sqmi;160.1km2,4223/sqmi;1631/km2,274543N  823839W  /  27.7620N  82.6441W  /  27.7620;  -82.6441  (St.  Petersburg) ,https://en.wikipedia.org/wiki/St._Petersburg_Florida,,,,,,,,,,,,,,,
 80,Laredo,Texas,261639,236091,+10.82%,101.1sqmi;261.8km2,2544/sqmi;982/km2,273337N  992921W  /  27.5604N  99.4892W  /  27.5604;  -99.4892  (Laredo) ,https://en.wikipedia.org/wiki/Laredo_Texas,Webb, August  1755 ,,Council-manager, Pete  Saenz  (D) , 102.6sqmi  (265.7km2)244731  (US:  80th) , 101.1sqmi  (261.8km2) , 1.5sqmi  (3.9km2) , 438ft  (137.2m) , UTC6  (CST) , UTC5  (CST) ,laredotexas.gov, 7804078046  78049 ,,
 81,Madison,Wisconsin,258054,233209,+10.65%,77.0sqmi;199.4km2,3280/sqmi;1270/km2,430516N  892548W  /  43.0878N  89.4299W  /  43.0878;  -89.4299  (Madison) ,https://en.wikipedia.org/wiki/Madison_Wisconsin,Dane,,1856,, Satya  Rhodes-Conway  (D) , 100.91sqmi  (261.36km2)233209 , 78.95sqmi  (204.48km2) , 21.96sqmi  (56.88km2) , 873ft  (226m) , UTC6  (Central) , UTC5  (CDT) ,cityofmadison.com,,, 3232.56/sqmi  (1248.10/km2) 
 82,Chandler,Arizona,257165,236123,+8.91%,64.9sqmi;168.1km2,3813/sqmi;1472/km2,331658N  1115118W  /  33.2829N  111.8549W  /  33.2829;  -111.8549  (Chandler) ,https://en.wikipedia.org/wiki/Chandler_Arizona,Maricopa,,1920,Council-Manager, Kevin  Hartke ,, 64.94sqmi  (168.20km2) , 0.10sqmi  (0.26km2) , 1214ft  (370m) , UTC7  (MST  (no  DST)) ,,www.chandleraz.gov,,, 3810.80/sqmi  (1471.37/km2) 
 83,Buffalo,New  York,256304,261310,1.92%,40.4sqmi;104.6km2,6359/sqmi;2455/km2,425333N  785135W  /  42.8925N  78.8597W  /  42.8925;  -78.8597  (Buffalo) ,https://en.wikipedia.org/wiki/Buffalo_New_York,Erie,,,, Byron  Brown  (D) , 52.5sqmi  (136.0km2)261452 , 40.6sqmi  (105.2km2) , 11.9sqmi  (30.8km2) , 600ft  (183m) , UTC05:00  (EST) , UTC04:00  (EDT) ,www.city-buffalo.com,,, 6436/sqmi  (2568/km2) 
 84,Lubbock,Texas,255885,229573,+11.46%,124.6sqmi;322.7km2,2027/sqmi;783/km2,333356N  1015312W  /  33.5656N  101.8867W  /  33.5656;  -101.8867  (Lubbock) ,https://en.wikipedia.org/wiki/Lubbock_Texas,Lubbock,1890, March  16  1909 ,Council-manager, Dan  Pope  (R) , 123.6sqmi  (320.0km2)253888  (83rd) , 122.41sqmi  (317.04km2) , 1.14sqmi  (2.96km2) ,, UTC6  (CST) , UTC5  (CDT) ,www.ci.lubbock.tx.us, 79401-79416  79423  79424  79430  79452  79453  79457  79464  79490  79491  79493  79499 ,,
 85,Scottsdale,Arizona,255310,217385,+17.45%,183.9sqmi;476.3km2,1341/sqmi;518/km2,334103N  1115140W  /  33.6843N  111.8611W  /  33.6843;  -111.8611  (Scottsdale) ,https://en.wikipedia.org/wiki/Scottsdale_Arizona,,,,,,,,,,,,,,,
 86,Reno,Nevada,250998,225221,+11.45%,107.3sqmi;277.9km2,2286/sqmi;883/km2,393257N  1195100W  /  39.5491N  119.8499W  /  39.5491;  -119.8499  (Reno) ,https://en.wikipedia.org/wiki/Reno_Nevada,Washoe,, March  16  1903 ,Council-manager, Hillary  Schieve  (ID) , 105.9sqmi  (274.2km2)225221  (US:  87th) , 103.0sqmi  (266.8km2) , 2.9sqmi  (7.4km2) , 4505.6ft  (1373m) , UTC8  (Pacific  (PST)) , UTC7  (PDT) ,reno.gov,,,
 87,Glendale,Arizona,250702,226721,+10.58%,59.1sqmi;153.1km2,4161/sqmi;1607/km2,333159N  1121124W  /  33.5331N  112.1899W  /  33.5331;  -112.1899  (Glendale) ,https://en.wikipedia.org/wiki/Glendale_Arizona,Maricopa,,,, Jerry  Weiers  (Non-Partisan) ,, 59.36sqmi  (153.75km2) , 0.39sqmi  (1.00km2) ,, UTC-7  (MST  (no  DST)) ,,www.glendaleaz.com,,, 4142.16/sqmi  (1599.30/km2) 
 88,Gilbert[q],Arizona,248279,208453,+19.11%,68.0sqmi;176.1km2,3487/sqmi;1346/km2,331837N  1114435W  /  33.3103N  111.7431W  /  33.3103;  -111.7431  (Gilbert) ,https://en.wikipedia.org/wiki/Gilbert_Arizona,Maricopa,,,, Jenn  Daniels  (R) ,, 68.00sqmi  (176.12km2) , 0.20sqmi  (0.51km2) ,, UTC-7  (MST  (no  DST)) ,,www.gilbertaz.gov,,, 3487.20/sqmi  (1346.41/km2) 
 89,WinstonSalem,North  Carolina,246328,229617,+7.28%,132.5sqmi;343.2km2,1828/sqmi;706/km2,360610N  801540W  /  36.1027N  80.2610W  /  36.1027;  -80.2610  (Winston-Salem) ,https://en.wikipedia.org/wiki/Winston%E2%80%93Salem_North_Carolina,,,,, Allen  Joines  (D)[1] ,, 132.4sqmi  (343.0km2) , 1.2sqmi  (3.2km2) , 970ft  (300m) , UTC5  (Eastern) , UTC4  (EDT) ,www.cityofws.org,,, 1800/sqmi  (710/km2) 
 90,North  Las  Vegas,Nevada,245949,216961,+13.36%,98.0sqmi;253.8km2,2436/sqmi;941/km2,361709N  1150538W  /  36.2857N  115.0939W  /  36.2857;  -115.0939  (North  Las  Vegas) ,https://en.wikipedia.org/wiki/North_Las_Vegas_Nevada,,,,,,,,,,,,,,,
 91,Norfolk[m],Virginia,244076,242803,+0.52%,53.3sqmi;138.0km2,4599/sqmi;1776/km2,365523N  761441W  /  36.9230N  76.2446W  /  36.9230;  -76.2446  (Norfolk) ,https://en.wikipedia.org/wiki/Norfolk_Virginia,,,1736,, Kenny  Alexander  (D) ,, 53.28sqmi  (137.99km2) , 43.13sqmi  (111.70km2) , 7ft  (2.13m) , UTC5  (EST) , UTC4  (EDT) ,www.norfolk.gov,,, 4593.03/sqmi  (1773.39/km2) 
 92,Chesapeake[m],Virginia,242634,222209,+9.19%,338.5sqmi;876.7km2,703/sqmi;271/km2,364046N  761806W  /  36.6794N  76.3018W  /  36.6794;  -76.3018  (Chesapeake) ,https://en.wikipedia.org/wiki/Chesapeake_Virginia, None  (Independent  city) ,,,Council-Manager, Dr.  Richard  W.  "Rick"  West  (R) ,, 338.51sqmi  (876.74km2) , 12.44sqmi  (32.21km2)  2.9% ,, UTC5  (EST) , UTC4  (EDT) ,www.cityofchesapeake.net,,, 710.16/sqmi  (274.19/km2) 
 93,Garland,Texas,242507,226876,+6.89%,57.0sqmi;147.6km2,4122/sqmi;1592/km2,325435N  963749W  /  32.9098N  96.6303W  /  32.9098;  -96.6303  (Garland) ,https://en.wikipedia.org/wiki/Garland_Texas,Dallas,,1891[2],Council-Manager,,, 57.1sqmi  (147.9km2) , 0sqmi  (0.0km2) , 551ft  (168m) , UTC-6  (CST) , UTC-5  (CDT) ,garlandtx.gov,,, 4000/sqmi  (1500/km2) 
 94,Irving,Texas,242242,216290,+12.00%,67.0sqmi;173.5km2,3557/sqmi;1373/km2,325128N  965812W  /  32.8577N  96.9700W  /  32.8577;  -96.9700  (Irving) ,https://en.wikipedia.org/wiki/Irving_Texas,Dallas,,,Council-Manager,, 67.7sqmi  (175.3km2)216290 , 67.9sqmi  (174.1km2) , 0.4sqmi  (1.1km2) , 482ft  (147m) , UTC-6  (CST) , UTC-5  (CDT) ,cityofirving.org,,, 3227/sqmi  (1246/km2) 
 95,Hialeah,Florida,238942,224669,+6.35%,21.5sqmi;55.7km2,10995/sqmi;4245/km2,255212N  801810W  /  25.8699N  80.3029W  /  25.8699;  -80.3029  (Hialeah) ,https://en.wikipedia.org/wiki/Hialeah_Florida,Miami-Dade,,,Council-Mayor, Carlos  Hernndez  (R)[1] , 22.82sqmi  (59.10km2)224669 , 21.48sqmi  (55.62km2) , 1.34sqmi  (3.48km2) , 7ft  (2m) , UTC5  (EST) , UTC4  (EDT) ,www.hialeahfl.gov,,, 11007.03/sqmi  (4249.79/km2) 
 96,Fremont,California,237807,214089,+11.08%,77.5sqmi;200.7km2,3008/sqmi;1161/km2,372940N  1215628W  /  37.4945N  121.9412W  /  37.4945;  -121.9412  (Fremont) ,https://en.wikipedia.org/wiki/Fremont_California,Alameda,, January  23  1956[1] ,Councilmanager[2],,, 77.47sqmi  (200.63km2) , 10.15sqmi  (26.29km2)  11.6% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.fremont.gov,,, 3009.57/sqmi  (1162.00/km2) 
 97,Boise[r],Idaho,228790,205671,+11.24%,82.1sqmi;212.6km2,2718/sqmi;1049/km2,433601N  1161354W  /  43.6002N  116.2317W  /  43.6002;  -116.2317  (Boise) ,https://en.wikipedia.org/wiki/Boise_Idaho,Ada,,1864,Strong-mayor, Dave  Bieter  (D) ,, 82.09sqmi  (212.60km2) , 0.71sqmi  (1.85km2) , 2730ft  (830m) , UTC7  (MST) , UTC6  (MDT) ,www.cityofboise.org,,, 2718.54/sqmi  (1049.64/km2) 
 98,Richmond[m],Virginia,228783,204214,+12.03%,59.8sqmi;154.9km2,3732/sqmi;1441/km2,373153N  772834W  /  37.5314N  77.4760W  /  37.5314;  -77.4760  (Richmond) ,https://en.wikipedia.org/wiki/Richmond_Virginia, None  (independent  city) ,,,, Levar  Stoney  (D) , 62.57sqmi  (162.05km2)204214 , 59.91sqmi  (155.18km2) , 2.66sqmi  (6.88km2) , 166.45ft  (45.7m) , UTC-5  (EST) , UTC-4  (EDT) ,www.ci.richmond.va.us, 23173  2321823242  2324923250  23255  2326023261  23269  2327323274  23276  2327823279  23282  2328423286  2328823295  2329723298 ,, 3789.30/sqmi  (1463.06/km2) 
 99,Baton  Rouge[s],Louisiana,221599,229493,3.44%,85.9sqmi;222.5km2,2651/sqmi;1024/km2,302632N  910751W  /  30.4422N  91.1309W  /  30.4422;  -91.1309  (Baton  Rouge) ,https://en.wikipedia.org/wiki/Baton_Rouge_Louisiana,,1721, January  16  1817 ,,,, 85.93sqmi  (222.55km2) , 2.19sqmi  (5.68km2) , 56ft  (17m) , UTC6  (CST) , UTC5  (CDT) ,www.brgov.com,,, 2650.13/sqmi  (1023.22/km2) 
